updated 10/16/14,,,,
CID,CRPName,Party,DistIDRunFor,FECCandID
N00030980,"Ayotte, Kelly",R,NHS1,S0NH00235
N00035027,"Baber, Bob Henry",L,WVS2,S2WV00070
N00005736,"Babin, Brian",R,TX36,H6TX02079
N00027493,"Bachmann, Michele",R,MN06,H6MN06074
N00008091,"Bachus, Spencer",R,AL06,H2AL06035
N00035528,"Bailey, Bill",D,IN09,H4IN09072
N00036336,"Bakari, Kamau Akil",3,NV01,H4NV01187
N00036368,"Balchunis, Mary Ellen",D,PA07,H4PA07092
N00035040,"Baldwin, Raymond",3,OR05,H2OR05175
N00004367,"Baldwin, Tammy",D,WIS1,S2WI00219
N00036208,"Ball, Gordon",D,TNS2,S4TN00351
N00035112,"Ballard, Scott J",L,TX31,H2TX11095
N00035896,"Banach, Dave",R,MD02,H4MD02174
N00036602,"Baratelli, Joe",L,NJS2,S4NJ00318
N00033981,"Barber, Ron",D,AZ02,H2AZ08094
N00025804,"Bardel, Hank",3,NY11,H2NY13062
N00035310,"Barfield, Jonathan",D,NC07,H4NC07068
N00025495,"Barletta, Lou",R,PA11,H2PA11098
N00034885,"Barnhart, Scott J",I,KSS1,S4KS00119
N00031233,"Barr, Andy",R,KY06,H0KY06104
N00036815,"Barr, Christina",R,MI14,H4MI13226
N00006236,"Barrasso, John A",R,WYS1,S6WY00068
N00035037,"Barrilleaux, Bryan",R,LA03,H2LA03063
N00036384,"Barron, Bill",3,UT02,H4UT02239
N00026080,"Barrow, John",D,GA12,H4GA12010
N00005656,"Barton, Joe",R,TX06,H4TX06117
N00036660,"Basler, Doug",R,WA09,H4WA09061
N00036469,"Bass, Herbert",I,TN09,H4TN09089
N00031877,"Bass, Karen",D,CA37,H0CA33117
N00036598,"Batson, Randall",L,KSS1,S4KS00143
N00036706,"Bauer, Lee",3,MN05,H4MN05089
N00036609,"Beard, Mark T",I,OKS1,S4OK00372
N00033904,"Beatty, Joyce",D,OH03,H2OH03125
N00009774,"Becerra, Xavier",D,CA34,H2CA30143
N00036584,"Beck, Gwendolyn",I,VA08,H4VA08331
N00029901,"Begich, Mark",D,AKS1,S8AK00090
N00035623,"Belgard, Aimee",D,NJ03,H4NJ03106
N00000871,"Bell, Jeff",R,NJS2,S8NJ00012
N00014711,"Bell, Philip H",R,LA06,H6LA07081
N00034793,"Bellone, Alan",3,NY08,H2NY08120
N00035660,"Bellows, Shenna",D,MES2,S4ME00071
N00031934,"Benishek, Dan",R,MI01,H0MI01088
N00030608,"Bennet, Michael F",D,COS1,S0CO00211
N00033625,"Bentivolio, Kerry",R,MI11,H2MI11133
N00030717,"Bera, Ami",D,CA07,H0CA03078
N00032405,"Bergmann, Charlotte",R,TN09,H0TN09061
N00036780,"Berman, Mike",I,NJ01,H4NJ01159
N00031994,"Best, Russell",3,NV04,H0NV02167
N00035997,"Betz, John",L,TX25,H4TX25174
N00036018,"Beyer, Don",D,VA08,H4VA08224
N00027462,"Bilirakis, Gus",R,FL12,H6FL09070
N00036449,"Bishop, Mike",R,MI08,H4MI08135
N00025292,"Bishop, Rob",R,UT01,H2UT01094
N00002674,"Bishop, Sanford",D,GA02,H2GA02031
N00025413,"Bishop, Timothy H",D,NY01,H2NY01067
N00031539,"Black, Diane",R,TN06,H0TN06257
N00030082,"Black, Phil",D,SC02,H8SC02098
N00003105,"Blackburn, Marsha",R,TN07,H2TN06030
N00035971,"Blair, Paul",3,TX03,H4TX03098
N00036836,"Blais, Dianne L",3,VA10,H4VA10154
N00036834,"Blais, Gerard",3,VA08,H4VA08349
N00031690,"Blakeman, Bruce",R,NY04,H4NY04091
N00034999,"Blue, Antonio",D,NC08,H2NC08219
N00033744,"Blum, Rod",R,IA01,H2IA01055
N00007727,"Blumenauer, Earl",D,OR03,H6OR03064
N00031685,"Blumenthal, Richard",D,CTS2,S0CT00177
N00005195,"Blunt, Roy",R,MOS1,S0MO00183
N00032925,"Boal, Ellis",3,MI01,H0MI01187
N00035727,"Bock, Joe",D,IN02,H4IN02135
N00003675,"Boehner, John",R,OH08,H0OH08029
N00036578,"Boggs, Tom",I,OK05,H4OK05173
N00031805,"Boler, Mark",L,TX26,H0TX26105
N00033474,"Bonamici, Suzanne",D,OR01,H2OR01133
N00033342,"Bongino, Dan",R,MD06,H4MD06191
N00035577,"Bonner, Jay Alan",R,FL20,H4FL20064
N00035267,"Booker, Cory",D,NJS2,S4NJ00185
N00013873,"Boozman, John",R,ARS2,S0AR00150
N00024866,"Bordallo, Madeleine Z",D,GU00,H2GU00033
N00036430,"Bossi, Jill",3,SCS1,S4SC00356
N00035420,"Bost, Mike",R,IL12,H4IL12060
N00026595,"Boustany, Charles W Jr",R,LA03,H4LA07029
N00035465,"Bowden, Craig",I,UT01,H4UT01108
N00034622,"Bowman, Joe",L,IN04,H2IN04143
N00036148,"Bowman, Terry",R,MI12,H4MI12061
N00006692,"Boxer, Barbara",D,CAS1,S2CA00286
N00035307,"Boyle, Brendan",D,PA13,H4PA13199
N00036816,"Boyle, Stephen",3,MI14,H4MI14190
N00034812,"Bradley, Wes",D,TN08,H2TN08119
N00005883,"Brady, Kevin",R,TX08,H6TX08100
N00001619,"Brady, Robert A",D,PA01,H8PA01153
N00036563,"Brady, Ross",3,NY10,H4NY10106
N00027464,"Braley, Bruce",D,IAS2,S4IA00087
N00036227,"Brand, Grant",L,AR03,H4AR03057
N00035871,"Brannigan, Sharon",R,IL03,H4IL03093
N00036302,"Brannon, Josh",D,NC05,H4NC05245
N00036013,"Brat, Dave",R,VA07,H4VA07143
N00036223,"Bray, Mark",I,AL05,H4AL05082
N00033532,"Bridenstine, James",R,OK01,H2OK01143
N00035322,"Brikho, George",R,MI09,H4MI09075
N00035959,"Brion, Scott Floyd",D,PA10,H4PA10054
N00024983,"Briscoe, Frank",D,TX22,H4TX22171
N00033911,"Bromell-Tinubu, Gloria",D,SC07,H2SC07108
N00002517,"Bronson, Bill",D,FL17,H2FL00300
N00036784,"Brooks, David",I,LA02,H4LA02103
N00030910,"Brooks, Mo",R,AL05,H0AL05163
N00033495,"Brooks, Susan",R,IN05,H2IN05082
N00028986,"Broun, Paul",R,GAS1,S6GA00101
N00036832,"Brown, Bo C",L,VA04,H4VA04041
N00002713,"Brown, Corrine",D,FL05,H2FL03056
N00035759,"Brown, Don",D,TX14,H4TX14079
N00036634,"Brown, Harris",R,LA05,H4LA05239
N00036447,"Brown, James",R,CT03,H4CT03082
N00005362,"Brown, Raymond",D,LAS1,S8LA00033
N00031174,"Brown, Scott",R,NHS2,S4NH00120
N00003535,"Brown, Sherrod",D,OHS1,S6OH00163
N00034590,"Brown, Steve",L,NV04,H4NV04058
N00034254,"Brownley, Julia",D,CA26,H2CA00120
N00035139,"Brubaker, Richard",L,WY01,H2WY00125
N00031804,"Bruner, Cory",L,TX35,H0TX25107
N00030237,"Bryan, Jim",D,FL01,H8FL01099
N00035749,"Buchal, James",R,OR03,H4OR03101
N00027626,"Buchanan, Vernon",R,FL16,H6FL13148
N00030829,"Buck, Kenneth R",R,CO04,H4CO04090
N00036614,"Buckley, John",L,WVS2,S4WV00266
N00031227,"Bucshon, Larry",R,IN08,H0IN08114
N00036739,"Buhrdorf, Dan",3,NES2,S4NE00165
N00035874,"Bumpers, Robert",R,IL07,H4IL07151
N00035901,"Burgess, Jeremy",I,MI08,H4MI08101
N00025219,"Burgess, Michael",R,TX26,H2TX26093
N00034080,"Burleson, Cindy",I,MS04,H2MS04209
N00002221,"Burr, Richard",R,NCS2,S4NC00089
N00036237,"Bussell, Hugh",R,CA15,H4CA15066
N00033390,"Bustos, Cheri",D,IL17,H2IL17071
N00027035,"Butterfield, G K",D,NC01,H4NC01046
N00034089,"Byrd, Jeff",R,NM03,H2NM03157
N00035380,"Byrne, Bradley",R,AL01,H4AL01123
N00035436,"Byrnes, Pam",D,MI07,H4MI07178
N00034726,"Cadien, Tawana W",D,TX10,H2TX10113
N00035433,"Cain, Emily",D,ME02,H4ME02200
N00035362,"Callis, Ann",D,IL13,H4IL13175
N00007099,"Calvert, Ken",R,CA42,H2CA37023
N00008086,"Camp, Dave",R,MI04,H0MI10071
N00025982,"Campbell, Douglas",3,CO07,H2CO07147
N00027565,"Campbell, John",R,CA45,H6CA48039
N00033999,"Campos, Benjamin",R,CA38,H2CA38237
N00036762,"Cannon, Allen",3,NJ12,H4NJ12164
N00035515,"Cannon, Jerry",D,MI01,H4MI01114
N00007836,"Cantwell, Maria",D,WAS1,S8WA00194
N00009771,"Capito, Shelley Moore",R,WVS2,S4WV00159
N00007232,"Capps, Lois",D,CA24,H8CA22089
N00000267,"Capuano, Michael E",D,MA07,H8MA08071
N00033373,"Cardenas, Tony",D,CA29,H2CA28113
N00001955,"Cardin, Ben",D,MDS1,S6MD03177
N00034135,"Cargas, James",D,TX07,H2TX07036
N00032688,"Carlson, Steve",3,MNS1,S4MN00437
N00030736,"Carney, John",D,DE01,H0DE01017
N00012508,"Carper, Tom",D,DES1,S8DE00079
N00036625,"Carpio, Monica",I,DC00,H4DC00084
N00035827,"Carr, Elan",R,CA33,H4CA33135
N00036757,"Carr, James",L,VA07,H4VA07168
N00032554,"Carr, William R",I,VA09,H0VA09113
N00029513,"Carson, Andre",D,IN07,H8IN07184
N00036022,"Carson, Jeffrey",L,VA08,H4VA08265
N00035346,"Carter, Buddy",R,GA01,H4GA01039
N00036456,"Carter, Jerry",3,IAS2,S4IA00160
N00025095,"Carter, John",R,TX31,H2TX31044
N00034128,"Cartwright, Matt",D,PA17,H2PA17079
N00035216,"Cary, Michael",3,TX28,H4TX28061
N00027503,"Casey, Bob",D,PAS2,S6PA00217
N00035325,"Casey, Nick",D,WV02,H4WV02072
N00030245,"Cassidy, Bill",R,LAS1,S4LA00107
N00036310,"Casteen, J Wesley",L,NC07,H4NC07100
N00027514,"Castor, Kathy",D,FL14,H6FL11126
N00033316,"Castro, Joaquin",D,TX20,H2TX35011
N00034795,"Cavanagh, Daniel J",3,NY09,H2NY09110
N00035842,"Cavanagh, Lori Hopkins",R,CT02,H4CT02068
N00027227,"Cavasso, Cam",R,HIS1,S4HI00102
N00036402,"Celis, Pedro",R,WA01,H4WA01241
N00036735,"Chabot, Brian",L,NH02,H4NH02274
N00036102,"Chabot, Paul",R,CA31,H4CA31071
N00003689,"Chabot, Steve",R,OH01,H8OH01043
N00036537,"Chaffee, Chris",R,MD05,H4MD05169
N00028958,"Chaffetz, Jason",R,UT03,H8UT03089
N00002685,"Chambliss, Saxby",R,GAS1,S2GA00118
N00036722,"Chance, David",L,LA03,H4LA03093
N00035893,"Chapman, John",R,MA09,H4MA09078
N00030475,"Chapman, Margaret",I,NJ01,H8NJ01192
N00034591,"Charles, Richard",L,NV01,H4NV01179
N00036143,"Charlton, Walter",3,MD06,H4MD06217
N00034134,"Chauvin, Hugh",L,TX06,H2TX06160
N00036824,"Chester, David L",L,OR04,H4OR04109
N00035387,"Chew, Robin Leo",R,CA14,H4CA18060
N00029692,"Childers, Travis",D,MSS1,S4MS00138
N00035326,"Cho, Roy",D,NJ05,H4NJ05135
N00000133,"Christian-Christensen, Donna",D,VI00,H4VI00054
N00036176,"Christofferson, Aelea",D,OR02,H4OR02178
N00030600,"Chu, Judy",D,CA27,H0CA32101
N00032019,"Cicilline, David",D,RI01,H0RI01073
N00035888,"Claitor, Dan",R,LA06,H4LA06112
N00035278,"Clark, Katherine",D,MA05,H4MA05084
N00035890,"Clark, Norm",R,LA06,H4LA06138
N00026961,"Clarke, Yvette D",D,NY09,H4NY11138
N00035854,"Clawson, Curt",R,FL19,H4FL19074
N00012460,"Clay, William L Jr",D,MO01,H0MO01066
N00035917,"Cleary, Brenda",D,NC13,H4NC13033
N00026790,"Cleaver, Emanuel",D,MO05,H4MO05234
N00035238,"Clements, Paul Colin",D,MI06,H4MI06105
N00036199,"Clements, Thomas Patrick",R,LAS1,S4LA00149
N00036267,"Clemmons, Chris",L,KS02,H4KS02123
N00035968,"Cleveland, Craig",L,TX02,H4TX02165
N00002408,"Clyburn, James E",D,SC06,H2SC02042
N00036797,"Clyde, Bill",3,CT02,H4CT02084
N00036152,"Coakley, Vince",R,NC12,H4NC12134
N00003845,"Coats, Dan",R,INS2,S0IN00053
N00036320,"Cobb, Gary",R,NJ01,H4NJ01092
N00028845,"Cobb, Joe",L,AZ07,H6AZ07022
N00002247,"Coble, Howard",R,NC06,H4NC06011
N00005601,"Coburn, Tom",R,OKS1,S4OK00174
N00003328,"Cochran, Thad",R,MSS1,S8MS00055
N00032957,"Cody, Ken",I,NJ12,H0NJ12170
N00024753,"Coffman, Mike",R,CO06,H8CO06138
N00003225,"Cohen, Steve",D,TN09,H6TN09068
N00035575,"Cohn, Alan",D,FL15,H4FL15155
N00035136,"Cole, Michael",D,TX36,H2TX36134
N00025726,"Cole, Tom",R,OK04,H2OK04055
N00036158,"Coleman, Bonnie",D,NJ12,H4NJ12149
N00001285,"Collins, Chris",R,NY27,H8NY29032
N00033518,"Collins, Doug",R,GA09,H2GA09150
N00000491,"Collins, Susan M",R,MES2,S6ME00159
N00035978,"Colliver, Ed",L,TX12,H4TX12032
N00036023,"Comstock, Barbara",R,VA10,H4VA10089
N00007084,"Conaway, Bob",D,CA08,H6CA40234
N00026041,"Conaway, Mike",R,TX11,H4TX19136
N00032363,"Condit, Jim",3,OH08,H0OH08128
N00029891,"Connolly, Gerry",D,VA11,H8VA11062
N00004029,"Conyers, John Jr",D,MI13,H6MI01028
N00035123,"Cook, Don",3,TX13,H2TX22126
N00036492,"Cook, Paul",I,TN09,H4TN09097
N00034224,"Cook, Paul",R,CA08,H2CA08164
N00031820,"Coons, Chris",D,DES2,S0DE00092
N00003132,"Cooper, Jim",D,TN05,H2TN05131
N00035056,"Corey, Matthew",R,CT01,H2CT01189
N00027441,"Corker, Bob",R,TNS1,S6TN00216
N00024852,"Cornyn, John",R,TXS1,S2TX00106
N00035994,"Corvalan, Ruben",L,TX23,H4TX23088
N00026341,"Costa, Jim",D,CA16,H4CA20082
N00031064,"Costello, Ryan",R,PA06,H0PA06076
N00033363,"Cotton, Tom",R,ARS1,S4AR00103
N00024842,"Courtney, Joe",D,CT02,H2CT02112
N00035208,"Cox, David",D,FL06,H4FL06022
N00036090,"Coyne, Thomas",L,WVS2,S4WV00217
N00031142,"Cozad, David",D,TX06,H0TX06065
N00025023,"Craig, Kevin",L,MO07,H4MO07107
N00027243,"Craig, Rufus",L,LA06,H4LA06047
N00035755,"Cramer, Daniel Nelson",D,TN07,H4TN07117
N00004614,"Cramer, Kevin",R,ND01,H0ND01026
N00006267,"Crapo, Mike",R,IDS2,S8ID00027
N00035619,"Crawford, Dennis",D,NE01,H4NE01163
N00030770,"Crawford, Rick",R,AR01,H0AR01083
N00012739,"Crenshaw, Ander ",R,FL04,H0FL04066
N00036814,"Crestwell, Gregory",L,MI09,H4MI09083
N00036171,"Crossland, Pete",D,OH16,H4OH16115
N00001127,"Crowley, Joseph",D,NY14,H8NY07046
N00034882,"Crowley, Kawika",R,HI02,H2HI02524
N00033085,"Cruz, Ted",R,TXS2,S2TX00312
N00024978,"Cuellar, Henry",D,TX28,H2TX23082
N00009738,"Culberson, John",R,TX07,H0TX07055
N00036181,"Culler, Anthony",R,SC06,H4SC06080
N00035133,"Cummings, Daniel",3,WY01,H2WY00133
N00001971,"Cummings, Elijah E",D,MD07,H6MD07160
N00036083,"Cunningham, David",L,TX21,H4TX21074
N00036517,"Cunningham, Kathleen Rosewater",I,COS2,S4CO00437
N00028439,"Cunningham, Robb",L,MO01,H6MO01246
N00035403,"Curbelo, Carlos",R,FL26,H4FL26038
N00036755,"Curtis, Amanda",D,MTS2,S4MT00159
N00036549,"Daggett, Doug",R,MN05,H4MN05071
N00033054,"Daines, Steven",R,MTS2,S2MT00096
N00035879,"Dale, John",D,IN04,H4IN04172
N00036839,"Dale, Lawrence",3,WI07,H4WI07111
N00032884,"Danet, Vincent Emile",R,VI00,H0VI00037
N00032934,"Dashairya, Bhagwan",L,MI12,H0MI08109
N00036635,"Dasher, Zach",R,LA05,H4LA05247
N00036719,"Davenport, Samuel",L,LA02,H4LA02087
N00004884,"Davis, Danny K",D,IL07,H4IL07037
N00034784,"Davis, Rodney",R,IL13,H2IL13120
N00009604,"Davis, Susan A",D,CA53,H0CA49055
N00036162,"Day, Chris",R,NY17,H4NY17135
N00036464,"Deakin, Paul",I,TN05,H4TN05103
N00036167,"Dean, Tim",I,NY25,H4NY25047
N00031038,"Debicella, Dan",R,CT04,H0CT04146
N00007781,"DeFazio, Peter",D,OR04,H6OR04047
N00006134,"DeGette, Diana",D,CO01,H6CO01141
N00033897,"Delaney, John K",D,MD06,H2MD06195
N00000615,"DeLauro, Rosa L",D,CT03,H0CT03072
N00030693,"DelBene, Suzan",D,WA01,H0WA08046
N00036605,"Delozier, Aaron",I,OKS2,S4OK00331
N00035392,"Demaio, Carl",R,CA52,H4CA52051
N00031593,"Denham, Jeff",R,CA10,H0CA19173
N00036281,"Denney, John",3,MN06,H4MN06137
N00035881,"Denney, Shawn",D,IN05,H4IN05120
N00031180,"Dennis, John",R,CA12,H0CA08069
N00026171,"Dent, Charlie",R,PA15,H4PA15087
N00036330,"Dentley, Yolanda",R,NJ10,H4NJ10101
N00036285,"Denton, Courtney",D,MO03,H4MO03171
N00034746,"DeSantis, Ron",R,FL06,H2FL00292
N00030709,"Desaulnier, Mark",D,CA11,H0CA10073
N00030957,"Desjarlais, Scott",R,TN04,H0TN04195
N00031317,"Deutch, Ted",D,FL21,H0FL19080
N00030321,"DeWitt, Rebecca",3,AZ07,H8AZ04116
N00036766,"Dezarn, Don",3,NJ12,H4NJ12172
N00036350,"Di Iorio, Nicholas S",R,NY12,H4NY12052
N00035121,"Diaz, Antonio",3,TX21,H2TX20062
N00025337,"Diaz-Balart, Mario",R,FL25,H2FL25018
N00035786,"Dickerson, Joyce",D,SCS1,S4SC00307
N00036550,"Dickey, Ron",D,MS01,H4MS01110
N00031295,"Didier, Clint",R,WA04,H4WA04088
N00035374,"Dietzel, Paul",R,LA06,H4LA06088
N00036860,"Dilger, Michael J",3,NY10,H4NY10114
N00035877,"Dill, Josh",3,IL13,H4IL13233
N00036149,"Dingell, Debbie",D,MI12,H4MI12079
N00001783,"Dingell, John D",D,MI12,H6MI16034
N00036027,"Dingethal, Bob",D,WA03,H4WA03114
N00035863,"Dious, Ken",D,GA10,H4GA10089
N00029460,"Djou, Charles",R,HI01,H0HI01157
N00036477,"Doggart, Robert",I,TN04,H4TN04213
N00006023,"Doggett, Lloyd",D,TX35,H4TX10028
N00035841,"Doherty, Grant",I,CO04,H4CO04082
N00031103,"Dold, Bob",R,IL10,H0IL10302
N00034876,"Dolgos, Stephen",3,AZ08,H2AZ08151
N00036053,"Domina, Dave",D,NES2,S4NE00140
N00035401,"Domino, Carl",R,FL18,H4FL18068
N00034946,"Donka, Mark",R,VT01,H2VT00110
N00026586,"Donnelly, Joe",D,INS1,S2IN00091
N00036574,"Douthitt, Jon",I,OK02,H4OK02188
N00001373,"Doyle, Mike",D,PA14,H4PA18131
N00033881,"Drummond, William (Cleave) II",3,FL02,H2FL01209
N00035102,"Dryer, Norris",3,TN02,H2TN02112
N00027860,"Duckworth, Tammy",D,IL08,H6IL06141
N00036791,"Dudikoff, Sydeney",I,AZ02,H4AZ02168
N00030967,"Duffy, Sean P",R,WI07,H0WI07051
N00036763,"Dugas, Lee A",D,LA01,H4LA01147
N00033919,"Duhon, Maurice",I,TX18,H2TX18132
N00035294,"Duke, Greg",R,GA02,H4GA02060
N00035550,"Dunbar, Forrest",D,AK01,H4AK00123
N00030752,"Duncan, Jeff",R,SC03,H0SC03077
N00003209,"Duncan, John J Jr",R,TN02,H8TN02069
N00036826,"Duncan, Vince",I,TX18,H4TX18112
N00035242,"Dunec, Mark S",D,NJ11,H4NJ11091
N00036799,"Dunn, Donna",L,IN01,H4IN01152
N00004981,"Durbin, Dick",D,ILS1,S6IL00151
N00036580,"Durbin, Sharon",L,OR02,H4OR02202
N00034105,"Eberly, Eric",L,OH05,H2OH05039
N00035496,"Eck, Alieta",R,NJ12,H4NJ12123
N00035299,"Eckles, Shawn",I,NC09,H4NC09130
N00036014,"Edmond, Micah",R,VA08,H4VA08182
N00036569,"Edstrom, William",3,NY15,H4NY15139
N00036508,"Edwards, Adrienne",D,CA34,H4CA34075
N00028249,"Edwards, Donna",D,MD04,H6MD04183
N00036269,"Edwards, Edwin",D,LA06,H4LA06161
N00035313,"Eggman, Michael",D,CA10,H4CA10075
N00036835,"Eickholt, Brad A",I,VA10,H4VA10147
N00036283,"Elder, Daniel",R,MO01,H4MO01118
N00035243,"Eldridge, Sean",D,NY19,H4NY19115
N00028257,"Ellison, Keith",D,MN05,H6MN05183
N00031513,"Ellmers, Renee",R,NC02,H0NC02059
N00036831,"Else, David A",I,UT03,H4UT03237
N00036434,"Emerson, Tom Jr",3,TNS2,S4TN00427
N00035440,"Emmer, Tom",R,MN06,H4MN06087
N00001003,"Engel, Eliot L",D,NY16,H8NY19058
N00035309,"Enyart, Douglas",3,MO08,H4MO08188
N00034884,"Enyart, William",D,IL12,H2IL12122
N00006249,"Enzi, Mike",R,WYS2,S6WY00126
N00027434,"Ericson, Cris",I,VT01,H8VT00141
N00035483,"Ernst, Joni",R,IAS2,S4IA00129
N00007335,"Eshoo, Anna",D,CA18,H8CA12098
N00036794,"Esquivel, Samuel",I,AZ07,H4AZ07100
N00033217,"Esty, Elizabeth",D,CT05,H2CT05131
N00034408,"Evans, James S",D,MO07,H2MO07093
N00034687,"Everett, Earl E",D,OK02,H2OK02166
N00036838,"Fahrendorf, Gus",L,WI06,H4WI06113
N00007632,"Faleomavaega, Eni F H",D,AS00,H0AS00018
N00036524,"Falstad, David B",I,FL10,H4FL10115
N00031672,"Farenthold, Blake",R,TX27,H0TX27061
N00036055,"Farr, Joan Elizabeth",I,OKS2,S4OK00224
N00007312,"Farr, Sam",D,CA20,H4CA17021
N00001746,"Fattah, Chaka",D,PA02,H2PA02055
N00036650,"Fausz, Elliott",D,VA04,H4VA04033
N00007364,"Feinstein, Dianne",D,CAS2,S0CA00199
N00035731,"Felder, Cassie",R,LA06,H4LA06104
N00004663,"Fellows, Mike",L,MT01,H8MT01141
N00035743,"Fernandez, Jose Luis",R,NY07,H4NY07110
N00035858,"Fernandez, Luis",I,FL24,H4FL24025
N00031141,"Fincher, Steve",R,TN08,H0TN08246
N00033443,"Fischer, Deb",R,NES1,S2NE00094
N00035930,"Fischer, Jim",R,NY20,H4NY20121
N00027229,"Fitzpatrick, Michael G",R,PA08,H4PA08074
N00035522,"Fjeld, Laura",D,NC06,H4NC06086
N00009573,"Flake, Jeff",R,AZS2,S2AZ00141
N00030815,"Fleischmann, Chuck",R,TN03,H0TN03254
N00029679,"Fleming, John",R,LA04,H8LA04225
N00031545,"Flores, Bill",R,TX17,H0TX17104
N00013799,"Forbes, Randy",R,VA04,H2VA04052
N00026631,"Fortenberry, Jeff",R,NE01,H4NE01064
N00029139,"Foster, Bill",D,IL11,H8IL14067
N00033960,"Foster, James",L,OR01,H2OR01224
N00035764,"Foust, John",D,VA10,H4VA10071
N00035973,"Fowler, Gerald",L,TX07,H4TX07073
N00036444,"Fox, Richard",R,CA18,H4CA18094
N00026166,"Foxx, Virginia",R,NC05,H4NC05146
N00002893,"Frankel, Lois J",D,FL22,H2FL14053
N00029016,"Franken, Al",D,MNS1,S8MN00438
N00036761,"Franklin, Gwendolyn",I,NJ10,H4NJ10127
N00036482,"Franklin, Robert D",I,TN01,H4TN01144
N00006423,"Franks, Trent",R,AZ08,H4AZ04024
N00035223,"Freeman, April",D,FL19,H4FL19058
N00000684,"Frelinghuysen, Rodney",R,NJ11,H2NJ05014
N00035741,"Frese, Michael",R,NM01,H4NM01116
N00032953,"Freudenheim, Jack",I,NJ12,H0NJ06198
N00036802,"Frey, Mike",L,IN09,H4IN09130
N00036803,"Fritz, Dennis L",I,MD05,H4MD05177
N00035940,"Fry, Robert",D,OH05,H4OH05043
N00030490,"Fudge, Marcia L",D,OH11,H8OH11141
N00034627,"Fulner, Jim",L,MIS1,S4MI00371
N00036570,"Funiciello, Matt",3,NY21,H4NY21111
N00033281,"Gabbard, Tulsi",D,HI02,H2HI02508
N00036247,"Gagnier, Christina",D,CA35,H4CA35049
N00017426,"Gainer, Glen",D,WV01,H2WV01037
N00033541,"Gallego, Pete",D,TX23,H2TX23124
N00036097,"Gallego, Ruben",D,AZ07,H4AZ07043
N00027160,"Gammill, Powell",L,AZ09,H4AZ02119
N00036583,"Gandino-Saadein, Justin J",I,VA03,H4VA03043
N00030856,"Garamendi, John",D,CA03,H0CA10149
N00029908,"Garcia, Joe",D,FL26,H8FL25015
N00035800,"Garcia, Marilinda",R,NH02,H4NH02241
N00036737,"Garcia, Raul",D,CA23,H4CA23151
N00030780,"Gardner, Cory",R,COS2,S4CO00395
N00036353,"Garrett, Janet",D,OH04,H4OH04046
N00000743,"Garrett, Scott",R,NJ05,H8NJ05052
N00035457,"Garrison, Jennifer",D,OH06,H4OH06074
N00035730,"Gatton, Mark A",3,KY03,H4KY03228
N00036398,"Gaughan, Walter Lawrence",D,VA05,H4VA05048
N00036058,"Gauthier, Edmund Louis",I,TNS2,S4TN00336
N00036372,"Geddings, Harold III",3,SC02,H4SC02063
N00025025,"Gerlach, Jim",R,PA06,H2PA06114
